Serial Number,Error Type,Ungrammatical Statement,Standard English
874,Mixed Metaphors/Idioms,"36. Fortune favors the bold, but good things come to those who wait.",36. Fortune favors the bold.
875,Mixed Metaphors/Idioms,"37. A chain is only as strong as its weakest link, but all's fair in love and war.",37. A chain is only as strong as its weakest link.
876,Mixed Metaphors/Idioms,"38. The apple doesn't fall far from the tree, but a leopard can't change its spots.",38. The apple doesn't fall far from the tree.
877,Mixed Metaphors/Idioms,"39. You can catch more flies with honey than with vinegar, but the grass is always greener on the other side.",39. You can catch more flies with honey than with vinegar.
878,Mixed Metaphors/Idioms,"40. Ignorance is bliss, but knowledge is power.",40. Ignorance is bliss.
879,Mixed Metaphors/Idioms,"41. Great minds think alike, but too many cooks spoil the broth.",41. Great minds think alike.
880,Mixed Metaphors/Idioms,"42. Absence makes the heart grow fonder, but out of sight, out of mind.",42. Absence makes the heart grow fonder.
881,Mixed Metaphors/Idioms,"43. An ounce of prevention is worth a pound of cure, but actions speak louder than words.",43. An ounce of prevention is worth a pound of cure.
882,Mixed Metaphors/Idioms,"44. A penny saved is a penny earned, but money can't buy happiness.",44. A penny saved is a penny earned.
883,Mixed Metaphors/Idioms,"45. Blood is thicker than water, but you can't choose your family.",45. Blood is thicker than water.
884,Mixed Metaphors/Idioms,"46. Don't look a gift horse in the mouth, but it's the thought that counts.",46. Don't look a gift horse in the mouth.
885,Mixed Metaphors/Idioms,"47. Slow and steady wins the race, but time waits for no one.",47. Slow and steady wins the race.
886,Mixed Metaphors/Idioms,"48. Laughter is the best medicine, but all work and no play makes Jack a dull boy.",48. Laughter is the best medicine.
887,Mixed Metaphors/Idioms,"49. The road to hell is paved with good intentions, but every cloud has a silver lining.",49. The road to hell is paved with good intentions.
888,Mixed Metaphors/Idioms,"50. A bird in the hand is worth two in the bush, but don't count your chickens before they hatch.",50. A bird in the hand is worth two in the bush.
889,Passive Voice Overuse,The car was driven by Sarah to the supermarket.,Sarah drove the car to the supermarket.
890,Passive Voice Overuse,The cake was eaten by the guests at the party.,The guests ate the cake at the party.
891,Passive Voice Overuse,The report was completed by the team before the deadline.,The team completed the report before the deadline.
892,Passive Voice Overuse,The movie was enjoyed by everyone in the theater.,Everyone in the theater enjoyed the movie.
893,Passive Voice Overuse,The computer was repaired by the technician yesterday.,The technician repaired the computer yesterday.
894,Passive Voice Overuse,The package was delivered by the mail carrier this morning.,The mail carrier delivered the package this morning.
895,Passive Voice Overuse,The lecture was given by Professor Smith.,Professor Smith gave the lecture.
896,Passive Voice Overuse,The song was performed by the choir at the concert.,The choir performed the song at the concert.
897,Passive Voice Overuse,The medicine was prescribed by the doctor for my illness.,The doctor prescribed the medicine for my illness.
898,Passive Voice Overuse,The plants were watered by Jane every day.,Jane watered the plants every day.
899,Passive Voice Overuse,The book was written by the author in six months.,The author wrote the book in six months.
900,Passive Voice Overuse,The house was painted by the workers last week.,The workers painted the house last week.
901,Passive Voice Overuse,The proposal was submitted by the company to the client.,The company submitted the proposal to the client.
902,Passive Voice Overuse,The game was won by the home team in overtime.,The home team won the game in overtime.
903,Passive Voice Overuse,The project was managed by Tom from start to finish.,Tom managed the project from start to finish.
904,Passive Voice Overuse,The letter was sent by the secretary to the board members.,The secretary sent the letter to the board members.
905,Passive Voice Overuse,The coffee was made by Kevin for the morning meeting.,Kevin made the coffee for the morning meeting.
906,Passive Voice Overuse,The play was directed by Susan at the community theater.,Susan directed the play at the community theater.
907,Passive Voice Overuse,The clothes were washed by Mary in the laundry room.,Mary washed the clothes in the laundry room.
908,Passive Voice Overuse,The email was forwarded by Jim to his colleagues.,Jim forwarded the email to his colleagues.
909,Passive Voice Overuse,The invitation was accepted by Lisa to attend the event.,Lisa accepted the invitation to attend the event.
910,Passive Voice Overuse,The flowers were arranged by the florist for the wedding.,The florist arranged the flowers for the wedding.
911,Passive Voice Overuse,The contract was signed by the CEO after reviewing the terms.,The CEO signed the contract after reviewing the terms.
912,Passive Voice Overuse,The groceries were bought by Mark at the store.,Mark bought the groceries at the store.
913,Passive Voice Overuse,The cake was baked by my grandmother for my birthday.,My grandmother baked the cake for my birthday.
914,Passive Voice Overuse,The dishes were washed by Peter after dinner.,Peter washed the dishes after dinner.
915,Passive Voice Overuse,The gift was wrapped by Sarah for the party.,Sarah wrapped the gift for the party.
916,Passive Voice Overuse,The window was broken by the kids playing outside.,The kids playing outside broke the window.
917,Passive Voice Overuse,The photos were taken by the photographer at the event.,The photographer took the photos at the event.
918,Passive Voice Overuse,The presentation was prepared by the team for the meeting.,The team prepared the presentation for the meeting.
919,Passive Voice Overuse,The tickets were bought by Jane for the concert.,Jane bought the tickets for the concert.
920,Passive Voice Overuse,The speech was delivered by the politician at the rally.,The politician delivered the speech at the rally.
921,Passive Voice Overuse,The research was conducted by the scientists in the lab.,The scientists conducted the research in the lab.
922,Passive Voice Overuse,The dog was walked by Tim in the park.,Tim walked the dog in the park.
923,Passive Voice Overuse,The article was published by the magazine in the latest issue.,The magazine published the article in the latest issue.
924,Passive Voice Overuse,The meal was cooked by the chef for the guests.,The chef cooked the meal for the guests.
925,Passive Voice Overuse,The table was set by Emily for dinner.,Emily set the table for dinner.
926,Passive Voice Overuse,The music was composed by the artist for the film.,The artist composed the music for the film.
927,Passive Voice Overuse,The documents were printed by the assistant for the meeting.,The assistant printed the documents for the meeting.
928,Passive Voice Overuse,The room was cleaned by the staff before the event.,The staff cleaned the room before the event.
929,Passive Voice Overuse,The computer program was developed by the engineers.,The engineers developed the computer program.
930,Passive Voice Overuse,The garden was tended by the gardener throughout the summer.,The gardener tended the garden throughout the summer.
931,Passive Voice Overuse,The children were picked up by their parents after school.,The parents picked up their children after school.
932,Passive Voice Overuse,The furniture was moved by the movers into the new house.,The movers moved the furniture into the new house.
933,Passive Voice Overuse,The bicycle was fixed by the mechanic at the shop.,The mechanic fixed the bicycle at the shop.
934,Passive Voice Overuse,The cake was decorated by the baker with icing and flowers.,The baker decorated the cake with icing and flowers.
935,Passive Voice Overuse,The plants were pruned by the gardener to encourage growth.,The gardener pruned the plants to encourage growth.
936,Passive Voice Overuse,The sculpture was created by the artist using clay and metal.,The artist created the sculpture using clay and metal.
